ID Steves_ID ra dec x y
4592 z4_GND_1357 189.25486 62.160097 9605.285 5532.156
20302 z4_GND_21844 189.153807 62.242328 12431.102 10467.082
28262 z4_GND_9283 189.190523 62.280903 11403.754 12780.668
26197 z4_GND_11873 189.262109 62.270376 9405.588 12148.965
18423 z4_GND_25059 189.084565 62.233145 14367.224 9919.358
18722 z4_GND_24531 189.354098 62.234659 6833.296 10009.146
23754 z4_GND_15860 189.052254 62.258934 15266.19 11468.94
4101 z4_GND_1027 189.294425 62.156491 8496.448 5316.602
21894 z4_GND_19018 189.05265 62.250068 15256.558 10936.947
16764 z4_GND_27850 189.381003 62.225378 6079.961 9453.87
16172 z4_GND_28848 189.20131 62.222333 11104.17 9266.318
17284 z4_GND_26976 189.235347 62.227749 10152.458 9591.109
24908 z4_GND_13899 189.236461 62.264535 10121.584 11798.307
17862 z4_GND_26059 189.173386 62.230408 11884.603 9751.342
15509 z4_GND_30138 189.171995 62.218386 11924.122 9030.004
19002 z4_GND_24035 189.29067 62.235981 8606.253 10085.856
30399 z4_GND_44029 189.258291 62.292453 9512.791 13473.521
13145 z4_GND_33899 189.400348 62.206632 5536.097 8330.495
19838 z4_GND_22380 189.371603 62.239507 6344.639 10300.995
25013 z4_GND_13724 189.200379 62.26502 11129.099 11827.545
17590 z4_GND_26499 189.102468 62.229372 13867.223 9691.959
20310 z4_GND_21826 189.364309 62.242338 6548.832 10470.455
6885 z4_GND_3328 189.25986 62.175873 9465.623 6478.775
22926 z4_GND_17496 189.328547 62.254872 7549.332 11220.662
22972 z4_GND_17256 189.350811 62.255152 6927.478 11238.493
15504 z4_GND_30042 189.316775 62.218688 7875.19 9049.168
13700 z4_GND_32852 189.360507 62.210125 6651.133 8537.431
10163 z4_GND_37840 189.307794 62.19326 8124.481 7523.115
20330 z4_GND_21687 189.319311 62.242443 7806.261 10474.535
16299 z4_GND_28658 189.408077 62.222904 5322.563 9307.363
6870 z4_GND_3301 189.279412 62.175745 8918.055 6471.431
18406 z4_GND_25050 189.112262 62.233199 13593.024 9921.057
29083 z4_GND_8488 189.230773 62.285374 10280.459 13048.623
31392 z4_GND_43431 189.244837 62.29826 9888.189 13821.864
10506 z4_GND_37439 189.237369 62.194497 10095.668 7596.012
35916 z4_GND_4559 189.193052 62.332497 11331.479 15876.267
10878 z4_GND_36886 189.210173 62.196661 10856.777 7725.913
21784 z4_GND_19178 189.31115 62.249613 8034.859 10904.447
18654 z4_GND_24647 189.345798 62.234401 7065.243 9993.212
23020 z4_GND_17131 189.076858 62.255223 14579.54 11244.514
9381 z4_GND_38897 189.27741 62.189439 8974.751 7293.037
11056 z4_GND_36665 189.23751 62.197495 10091.737 7775.885
16226 z4_GND_28805 189.276921 62.222383 8989.907 9269.69
9091 z4_GND_39265 189.337593 62.187879 7289.887 7201.491
24375 z4_GND_14770 189.221149 62.262038 10549.174 11648.451
9298 z4_GND_38988 189.242718 62.189013 9945.873 7266.975
12559 z4_GND_34624 189.163104 62.204758 12173.59 8212.615
19279 z4_GND_23585 189.359931 62.237255 6670.561 10165.202
4110 z4_GND_1044 189.282423 62.156378 8832.768 5309.489
18621 z4_GND_25179 189.099486 62.234231 13950.018 9983.632
25895 z4_GND_12365 189.172639 62.26918 11903.475 12077.639
17958 z4_GND_26080 189.277659 62.23029 8969.629 9744.099
20618 z4_GND_21287 189.2111 62.243789 10830.09 10553.562
29023 z4_GND_8496 189.265651 62.285247 9307.199 13041.287
30247 z4_GND_7770 189.287332 62.291521 8702.565 13418.212
27771 z4_GND_45041 189.07084 62.278032 14744.297 12613.493
13414 z4_GND_33202 189.137792 62.208406 12881.469 8432.317
11177 z4_GND_36518 189.159212 62.198008 12282.905 7807.724
20393 z4_GND_21761 189.133935 62.242429 12986.398 10473.884
19776 z4_GND_22805 189.175054 62.239613 11837.516 10303.601
23807 z4_GND_15768 189.157661 62.259301 12322.276 11485.336
26665 z4_GND_45312 189.058326 62.272552 15094.452 12285.53
6360 z4_GND_2799 189.330592 62.172189 7484.394 6259.784
29402 z4_GND_8288 189.285281 62.286945 8759.524 13143.593
18413 z4_GND_25069 189.283409 62.233255 8809.052 9922.114
15887 z4_GND_29335 189.399872 62.220769 5551.651 9178.637
6288 z4_GND_2752 189.314744 62.171762 7928.238 6233.492
21529 z4_GND_19686 189.129278 62.248406 13115.991 10832.665
13528 z4_GND_33062 189.124421 62.209339 13255.448 8488.845
21355 z4_GND_20225 189.225844 62.247509 10418.094 10776.71
13572 z4_GND_33042 189.238207 62.209553 10072.326 8499.406
18876 z4_GND_24280 189.389216 62.235307 5851.808 10050.168
14259 z4_GND_31592 189.233808 62.212437 10195.399 8672.393
16138 z4_GND_28945 189.355218 62.222031 6800.49 9251.488
22738 z4_GND_17598 189.2754 62.254129 9033.811 11174.41
23189 z4_GND_16843 189.12087 62.256265 13350.104 11304.594
